Date,Mkt-RF
20020328,0.29
20020401,-0.12
20020402,-0.92
20020403,-0.98
20020404,0.12
20020405,-0.26
20020408,0.35
20020409,-0.6
20020410,1.15
20020411,-2.22
20020412,0.84
20020415,-0.67
20020416,2.26
20020417,-0.24
20020418,-0.14
20020419,0.07
20020422,-1.5
20020423,-0.52
20020424,-0.66
20020425,-0.11
20020426,-1.41
20020429,-0.88
20020430,1.2
20020501,0.74
20020502,-0.21
20020503,-0.96
20020506,-1.84
20020507,-0.36
20020508,3.57
20020509,-1.43
20020510,-1.64
20020513,1.75
20020514,2.2
20020515,-0.4
20020516,0.35
20020517,0.69
20020520,-1.28
20020521,-1.16
20020522,0.37
20020523,1.05
20020524,-1.17
20020528,-0.75
20020529,-0.67
20020530,-0.24
20020531,0.19
20020603,-2.43
20020604,-0.11
20020605,0.83
20020606,-1.91
20020607,0.08
20020610,0.21
20020611,-1.7
20020612,0.54
20020613,-1.1
20020614,-0.07
20020617,2.77
20020618,0.05
20020619,-1.63
20020620,-1.37
20020621,-1.53
20020624,0.18
20020625,-1.69
20020626,-0.27
20020627,1.68
20020628,0.12
20020701,-2.32
20020702,-2.27
20020703,0.41
20020705,3.55
20020708,-1.21
20020709,-2.36
20020710,-3.03
20020711,0.56
20020712,-0.55
20020715,-0.45
20020716,-1.5
20020717,0.63
20020718,-2.7
20020719,-3.38
20020722,-3.18
20020723,-2.86
20020724,5.43
20020725,-0.52
20020726,1.49
20020729,5.39
20020730,0.42
20020731,0.65
20020801,-2.68
20020802,-2.36
20020805,-3.34
20020806,3.03
20020807,1.81
20020808,3.05
20020809,0.3
20020812,-0.43
20020813,-2.15
20020814,3.76
20020815,1.17
20020816,0.06
20020819,2.17
20020820,-1.3
20020821,1.36
20020822,1.32
20020823,-2.25
20020826,0.83
20020827,-1.55
20020828,-1.79
20020829,0.21
20020830,-0.28
20020903,-3.95
20020904,1.83
20020905,-1.62
20020906,1.82
20020909,0.92
20020910,0.66
20020911,-0.03
20020912,-2.37
20020913,0.38
20020916,0.02
20020917,-1.91
20020918,-0.45
20020919,-2.96
20020920,0.19
20020923,-1.48
20020924,-1.54
20020925,2.44
20020926,1.74
20020927,-2.98
20020930,-1.28
20021001,3.56
20021002,-2.31
20021003,-1.14
20021004,-2.25
20021007,-2
20021008,1.54
20021009,-2.77
20021010,3.41
20021011,3.74
20021014,0.77
20021015,4.57
20021016,-2.42
20021017,2.4
20021018,0.49
20021021,1.65
20021022,-1.11
20021023,0.76
20021024,-1.44
20021025,1.69
20021028,-0.83
20021029,-0.87
20021030,1.03
20021031,-0.41
20021101,1.73
20021104,0.79
20021105,0.63
20021106,0.98
20021107,-2.22
20021108,-0.92
20021111,-2.09
20021112,0.83
20021113,0.02
20021114,2.43
20021115,0.61
20021118,-1
20021119,-0.48
20021120,1.93
20021121,2.16
20021122,-0.22
20021125,0.36
20021126,-2.03
20021127,2.78
20021129,-0.32
20021202,-0.1
20021203,-1.54
20021204,-0.38
20021205,-1.11
20021206,0.61
20021209,-2.26
20021210,1.44
20021211,0.1
20021212,-0.27
20021213,-1.37
20021216,2.21
20021217,-0.76
20021218,-1.34
20021219,-0.7
20021220,1.23
20021223,0.24
20021224,-0.52
20021226,-0.19
20021227,-1.53
20021230,0.34
20021231,0.12
20030102,3.14
20030103,-0.11
20030106,2.13
20030107,-0.63
20030108,-1.34
20030109,1.89
20030110,0.04
20030113,-0.12
20030114,0.55
20030115,-1.32
20030116,-0.34
20030117,-1.4
20030121,-1.53
20030122,-0.94
20030123,0.99
20030124,-2.78
20030127,-1.65
20030128,1.26
20030129,0.63
20030130,-2.13
20030131,1.28
20030203,0.37
20030204,-1.34
20030205,-0.49
20030206,-0.64
20030207,-1.06
20030210,0.69
20030211,-0.71
20030212,-1.25
20030213,-0.26
20030214,1.9
20030218,1.97
20030219,-0.7
20030220,-0.83
20030221,1.31
20030224,-1.78
20030225,0.7
20030226,-1.22
20030227,1.15
20030228,0.41
20030303,-0.67
20030304,-1.44
20030305,0.78
20030306,-0.84
20030307,0.76
20030310,-2.36
20030311,-0.81
20030312,0.32
20030313,3.39
20030314,0.13
20030317,3.41
20030318,0.44
20030319,0.72
20030320,0.28
20030321,2.19
20030324,-3.36
20030325,1.21
20030326,-0.55
20030327,-0.09
20030328,-0.48
20030331,-1.65
20030401,1.12
20030402,2.6
20030403,-0.49
20030404,0.15
20030407,0.18
20030408,-0.24
20030409,-1.28
20030410,0.52
20030411,-0.32
20030414,1.88
20030415,0.62
20030416,-1.11
20030417,1.52
20030421,-0.11
20030422,2.07
